CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-01775910","Karampas, G; Eleftheriades, M; Haliassos, A; Panoulis, K; Rizou, M; Metallinou, D; Mastorakos, G; Rizos, D","Neutrophil gelatinase-associated lipocalin (NGAL) is a potent biomarker for the prediction of preeclampsia","Clinical chemistry and laboratory medicine","2017","Background Preeclampsia (PE) is a systematic disease of pregnancy characterized by hypertension and proteinuria developing after 20th week of pregnancy and it is estimated that affects 3‐5% of pregnancies worldwide. It is generally accepted that no single marker can provide sufficient accuracy for the prediction of PE. The interest of research is focused on the combination of biochemical and ultrasound markers and maternal characteristics into multiparametric models. The purpose of our study was to evaluate the effectiveness of screening models for the prediction of preeclampsia combining neutrophil gelatinase‐associated lipocalin (NGAL) with other markers in the first and/or second trimester of pregnancy. Methods From a total of 541 women prospectively enrolled pregnant women at 11+0 to 13+6 and 20+1 to 25+6 weeks, in this case‐control study we included all 12 singleton pregnancies that developed PE and 47 randomly selected singleton normal pregnancies. Maternal characteristics, uterine artery pulsatility index (UtA‐PI), ductus venous pulsatility index (DV‐PI) and serum biomarkers including NGAL, pregnancy‐associated plasma protein‐A (PAPP‐A), placental growth factor (PlGF), soluble fms‐like tyrosine kinase 1 (sFlt‐1), were recorded and evaluated. Forward conditional stepwise logistic regression method was used for the selection of the most effective predictors (risk factors). Results The combination of NGAL and body mass index (BMI) in the 1st trimester detected 70% of preeclamptic pregnancies with 93.5% specificity (p=0.001). Including UtA‐PI and DV‐PI in this model, sensitivity reached 77.8% with 96.6% specificity (p=0.004). The combination of the 2nd trimester NGAL with s‐Flt‐1/PLGF ratio yield 100% specificity (p=0.001). The combination of the 2nd trimester UtA‐PI with 1st trimester NGAL, BMI and age detected 80% of PE with 91.9% specificity (p=0.001). The inclusion of PAPP‐A didn't improve any of the above models. Conclusion The combination of NGAL with maternal characteristics and Doppler parameters in the 1st and/or 2nd trimester can detect a consistent number of preeclamptic pregnancies. NGAL seems to be a very potent biomarker already from the first trimester and improves regression models detecting PE. NGAL in combination with sFlt‐1 / PLGF ratio in the second trimester yielded an excellent specificity of 100%.","55",,"S373","Cochrane Central Register of Controlled Trials (CENTRAL)",,"EMBASE 616773252",,,,"Journal article; Conference proceeding","*prediction; *preeclampsia; Aged; Animal model; Body mass; Case control study; Comparative effectiveness; Controlled clinical trial; Controlled study; Diagnostic test accuracy study; Disease model; Female; First trimester pregnancy; Human; Human tissue; Logistic regression analysis; Major clinical study; Pregnant woman; Pulsatility index; Randomized controlled trial; Risk factor; Screening; Second trimester pregnancy; Solubility; Statistical model; Uterine artery; Vein; Very elderly","10.1515/cclm-2017-5009","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01775910/full",
"CN-01196621",,"Early prediction and aspirin for prevention of pre-eclampsia (EPAPP) study: a randomized controlled trial","Ultrasound in obstetrics &amp; gynecology : the official journal of the international society of ultrasound in obstetrics and gynecology. 46 (4) (pp 414-418), 2015. Date of publication: 01 oct 2015.","2015","OBJECTIVE: To estimate the effect of early administration of aspirin on the prevention of pre‐eclampsia in high‐risk women. METHODS: This was planned as a randomized, double‐blind, placebo‐controlled trial of aspirin for women with risk factors for pre‐eclampsia. Participants were randomized to start either aspirin (81mg/day) or placebo at 11+0 to 13+6weeks of gestation. The primary outcome was pre‐eclampsia and secondary outcomes included gestational hypertension and small‐for‐gestational age at birth. RESULTS: The trial suffered from slow recruitment, leading to a protocol change to broaden the inclusion criteria (from a minimum score of multiple risk factors to at least one risk factor for pre‐eclampsia). The trial was then terminated prematurely due to continuing slow recruitment and a lack of equipoise given a change in national guidelines to administer aspirin to high‐risk women. From the 53 women who were randomized, 30 were included in the final analysis. There was no evidence that the primary outcome of pre‐eclampsia was prevented by low‐dose aspirin (relative risk (RR) 0.88, 95% CI 0.21‐3.66). Gestational hypertension was seen in two women, both in the aspirin group. There was no evidence that the occurrence of small‐for‐gestational age was reduced by aspirin (RR 0.88, 95% CI 0.06‐12.72). CONCLUSIONS: Although this study was underpowered to show effectiveness of aspirin compared to placebo due to the premature termination and difficulties encountered, it highlights practical issues to inform future studies. Copyright © 2015 ISUOG. Published by John Wiley &amp; Sons Ltd.",,,,"Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article","Acetylsalicylic acid/ad [Drug Administration]; Adult; Antithrombocytic agent/ad [Drug Administration]; Controlled study; Double blind procedure; Female; Fetus echography; First trimester pregnancy; Gestational age; Human; Predictive value; Pregnancy; Pregnancy outcome; Premature Birth/pc [Prevention]; Pre‐Eclampsia/pc [Prevention]; Randomized controlled trial; Risk factor","10.1002/uog.14889","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01196621/full",
"CN-01783853","Ganzevoort, W; Rep, A; de Vries, JI; Bonsel, GJ; Wolf, H","Prediction of maternal complications and adverse infant outcome at admission for temporizing management of early-onset severe hypertensive disorders of pregnancy","American journal of obstetrics and gynecology","2006","OBJECTIVE: We explored the association between clinical parameters at admission and the subsequent development of major maternal complications or adverse infant outcome in women with hypertensive complications of pregnancy remote from term. STUDY DESIGN: We drew data from a randomized trial of temporizing management in 216 patients with hemolysis, elevated liver enzymes, and low platelets syndrome; severe preeclampsia; eclampsia; or hypertension‐related fetal growth restriction and gestational ages between 24 and 34 completed weeks. End points were adverse infant outcome (perinatal death, severe morbidity) and major maternal complications (major morbidity; recurrent and newly acquired hemolysis, elevated liver enzymes, and low platelets; eclampsia) after admission. End point prevalences were comparable between the treatment and control groups. The association with age, parity, ethnicity, body mass index, gestational age, estimated fetal weight, blood pressure, antihypertensive medication, pulse rate, hemoglobin concentration, admitting center, diagnosis at inclusion, chronic hypertension, and thrombophilia was explored by logistic regression analysis. RESULTS: Adverse infant outcome was predominantly influenced by gestational age (odds ratio 0.4 per week increment). Major maternal complications were correlated to multiparity (odds ratio 0.4) and estimated fetal weight (odds ratio 0.9 per 100‐g increment). CONCLUSION: Prediction at admission of the clinical course of the disease and the development of additional maternal complications was not feasible.","195","2","495‐503","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 16643825","EMBASE 44142383",,,,"Journal article","*maternal hypertension /drug therapy; Adult; Article; Birth Weight; Blood pressure; Body mass; Chronic disease; Clinical trial; Controlled clinical trial; Controlled study; Disease course; Disease severity; Eclampsia /complication /diagnosis; Eclampsia [therapy]; Ethnology; Female; Fetus weight; Gestational Age; Gestational age; HELLP Syndrome [therapy]; HELLP syndrome /complication /diagnosis; Hemoglobin blood level; Hemolysis /complication /diagnosis; Hospital admission; Human; Humans; Hypertension, Pregnancy‐Induced [*therapy]; Infant, Newborn; Intrauterine growth retardation /complication /diagnosis; Logistic regression analysis; Maternal Age; Morbidity; Multipara; Multivariate Analysis; Parity; Prediction; Preeclampsia /complication /diagnosis; Pregnancy; Pregnancy Outcome [*epidemiology]; Pregnancy disorder; Prevalence; Pre‐Eclampsia [therapy]; Priority journal; Prognosis; Pulse rate; ROC Curve; Randomized controlled trial; Risk Factors; Thrombophilia /complication /diagnosis; Treatment outcome","10.1016/j.ajog.2006.02.012","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01783853/full",
"CN-00684200","Broughton Pipkin, F; Sharif, J; Lal, S","Predicting high blood pressure in pregnancy: a multivariate approach","Journal of Hypertension: Open Access","1998","OBJECTIVE: To identify predictors of pregnancy‐induced hypertension and pre‐eclampsia in 212 nulliparous women before 20 weeks' gestation and at approximately 28 weeks' gestation. STUDY DESIGN: A randomized, prospective study in a teaching hospital. We performed standardized measurements of systolic and diastolic arterial blood pressures, body mass index, urinary calcium:creatinine ratio and components of the renin‐angiotensin system, including platelet angiotensin II binding site density. Attending clinicians were blinded to the results. Outcome was assessed by one observer at the end of pregnancy. Discriminant function analysis was used to identify significant predictors. RESULTS: Fifty‐five women had transient, presumed 'white‐coat', systolic hypertension at the time of first pregnancy visit; they were twice as likely to develop pregnancy‐induced hypertension and pre‐eclampsia and five times more likely to deliver prematurely. Body mass index, platelet angiotensin II binding site density and urinary calcium:creatinine ratio measured before 20 weeks gestation were also significant predictors. At 28 weeks of pregnancy, measurements of the blood pressure were significant predictors (reflecting the near clinical expression of the disease), together with the plasma angiotensinogen concentration. CONCLUSIONS: A single systolic blood pressure reading of 140 mmHg or more before 20 weeks' gestation indicates a higher than normal risk of pregnancy‐induced hypertension and pre‐eclampsia and premature delivery. Discriminator biochemical variables were also identified at this time, which might allow the more rational use of prophylactic measures.","16","2","221‐229","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 9535150",,,,,"Journal article","Adult; Blood Pressure; Body Mass Index; Calcium [urine]; Creatinine [urine]; Female; Humans; Hypertension [*complications, etiology, physiopathology]; Multivariate Analysis; Obstetric Labor, Premature [etiology, physiopathology]; Pregnancy; Pregnancy Complications, Cardiovascular [diagnosis, *etiology, physiopathology]; Pregnancy Outcome; Pre‐Eclampsia [etiology, physiopathology]; Prospective Studies; Renin‐Angiotensin System [physiology]; Risk Factors","10.1097/00004872-199816020-00013","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00684200/full","Metabolic and Endocrine Disorders"
"CN-02276191","Peguero, A; Herraiz, I; Perales, A; Melchor, JC; Melchor, I; Marcos, B; Villalain, C; Martinez-Portilla, R; Mazarico, E; Meler, E; Hernandez, S; Matas, I; Del Rio, M; Galindo, A; Figueras, F","Placental growth factor testing in the management of late preterm preeclampsia without severe features: a multicenter, randomized, controlled trial","American journal of obstetrics and gynecology","2021","Background: In women with late preterm preeclampsia, the optimal time for delivery remains a controversial topic, because of the fine balance between the maternal benefits from early delivery and the risks for prematurity. It remains challenging to define prognostic markers to identify women at highest risk for complications, in which case a selective, planned delivery may reduce the adverse maternal and perinatal outcomes. Objective: This trial aimed to determine whether using an algorithm based on the maternal levels of placental growth factor in women with late preterm preeclampsia to evaluate the best time for delivery reduced the progression to preeclampsia with severe features without increasing the adverse perinatal outcomes. Study Design: This parallel‐group, open‐label, multicenter, randomized controlled trial was conducted at 7 maternity units across Spain. We compared selective planned deliveries based on maternal levels of placental growth factor at admission (revealed group) and expectant management under usual care (concealed group) with individual randomization in singleton pregnancies with late preterm preeclampsia from 34 to 36+6 weeks’ gestation. The coprimary maternal outcome was the progression to preeclampsia with severe features. The coprimary neonatal outcome was morbidity at infant hospital discharge with a noninferiority hypothesis (noninferiority margin of 10% difference in incidence). Analyses were conducted according to intention‐to‐treat. Results: Between January 1, 2016, and December 31, 2019, 178 women were recruited. Of those women, 88 were assigned to the revealed group and 90 were assigned to the concealed group. The data analysis was performed before the completion of the required sample size. The proportion of women with progression to preeclampsia with severe features was significantly lower in the revealed group than in the concealed group (adjusted relative risk, 0.5; 95% confidence interval, 0.33–0.76; P=.001). The proportion of infants with neonatal morbidity was not significantly different between groups (adjusted relative risk, 0.77; 95% confidence interval, 0.39–1.53; P=.45). Conclusion: There is evidence to suggest that the use of an algorithm based on placental growth factor levels in women with late preterm preeclampsia leads to a lower rate of progression to preeclampsia with severe features and reduces maternal complications without worsening the neonatal outcomes. This trade‐off should be discussed with women with late preterm preeclampsia to allow shared decision making about the timing of delivery.","225","3","308.e1‐308.e14","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 33823150","EMBASE 2011890429","","","","Journal article","*algorithm; *blood pressure; *newborn morbidity; *prediction; *preeclampsia; Adult; Algorithms; Article; Biomarkers [blood]; Complication; Controlled study; Data analysis; Disease Progression; Female; Gene expression; Hospital discharge; Human; Humans; Infant; Infant, Newborn; Major clinical study; Multicenter study; Newborn disease; Obstetric delivery; Parallel design; Placenta Growth Factor [*blood]; Pregnancy; Pre‐Eclampsia [*blood]; Prognosis; Protein expression; Randomization; Randomized controlled trial; Risk factor; Sample size; Shared decision making; Spain; Watchful Waiting","10.1016/j.ajog.2021.03.044","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02276191/full","Pregnancy and Childbirth"
"CN-01070709","de Wilde, MA; Veltman-Verhulst, SM; Goverde, AJ; Lambalk, CB; Laven, JS; Franx, A; Koster, MP; Eijkemans, MJ; Fauser, BC","Preconception predictors of gestational diabetes: a multicentre prospective cohort study on the predominant complication of pregnancy in polycystic ovary syndrome","Human reproduction (Oxford, England)","2014","STUDY QUESTION: Can we develop an adequate preconception prediction model to identify those women with polycystic ovary syndrome (PCOS) who have an increased risk of developing gestational diabetes mellitus (GDM) during subsequent pregnancy? STUDY ANSWER: The risk of developing GDM in women with PCOS can be adequately predicted prior to conception by a prediction model. WHAT IS KNOWN ALREADY: Women with PCOS are at increased risk of pregnancy complications, especially GDM. GDM has serious short‐term and long‐term effects on mother and baby. STUDY DESIGN, SIZE, DURATION: This study is a part of a multicentre prospective cohort study, which was conducted between April 2008 and April 2012. A total of 326 women with PCOS were included. PARTICIPANTS/MATERIALS, SETTING, METHODS: Women with PCOS and a wish to conceive were included prior to conception and followed until 6 weeks after delivery. Maternal, neonatal and birth complications were reported. A multivariate model was developed to predict the most common pregnancy complication, GDM, by using univariate and multivariate logistic regression of preconception patient characteristics. The area under the curve (AUC) of the receiver‐operating characteristic was used to test the performance of the model. MAIN RESULTS AND THE ROLE OF CHANCE: A total of 189 women (58%) achieved an ongoing pregnancy (8% multiples) and delivered a live‐born neonate. One or two maternal complications occurred in 62 (33%) pregnant women, mainly GDM (n = 41; 22%) and pregnancy‐induced hypertension (n = 14; 7%). In children, one or two complications were observed in 49 (26%) of 206 children born, e.g. premature delivery (n = 23; 12%) and small for gestational age (n = 15; 8%). The preconception prediction model for GDM performed well (AUC 0.87, 95% CI 0.81‐0.93). First‐degree relatives with type 2 diabetes mellitus, serum levels of fasting glucose, fasting insulin, androstenedione and sex hormone‐binding globulin before conception were identified as predictors. LIMITATIONS, REASONS FOR CAUTIONS: The prediction model has not yet been externally validated in another group of patients. Also, there were missing data for some of the determinants, which were accounted for by multiple imputation. WIDER IMPLICATIONS OF THE FINDINGS: Women with PCOS who achieve a pregnancy have an increased risk of GDM. The prediction model can be used to identify women particularly at risk for GDM who should be monitored closely to enable preventative measures that may reduce the risk of developing GDM and its adverse consequences. STUDY FUNDING/COMPETING INTEREST(S): No external funding was used for the study. M.A.W., S.M.V.V., A.J.G., A.F. and M.P.H.K. have nothing to disclose. C.B.L has received fees and grant support from the following companies (in alphabetic order): Auxogen, European Society of Human Reproduction and Embryology and MSD. J.S.E.L. has received fees and grant support from the following companies (in alphabetic order): Ferring, Gennovum, Merck‐Serono, MSD, Organon, Schering Plough, Sharp &amp; Dome and Serono. M.J.C. has received grant support from the following companies (in alphabetic order): Illumina and MSD. B.C.J.M.F. has received fees and grant support from the following companies (in alphabetic order): Ferring, Ova‐Science, PregLem SA, Roche and Watson Laboratories. TRIAL REGISTRATION NUMBER: NCT00821379 [Clinicaltrials.gov].","29","6","1327‐1336","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 24777850","EMBASE 603687907","","","","Journal article","*conception; *ovary polycystic disease; *preconception; *pregnancy diabetes mellitus/co [Complication]; *pregnancy diabetes mellitus/et [Etiology]; Adult; Androstenedione blood level; Androstenedione/ec [Endogenous Compound]; Article; Cohort analysis; Controlled clinical trial; Controlled study; Diabetes, Gestational [*etiology]; Female; First degree relative; Gestational age; Globulin blood level; Glucose blood level; Glucose/ec [Endogenous Compound]; Human; Humans; Insulin blood level; Insulin/ec [Endogenous Compound]; Major clinical study; Maternal hypertension/co [Complication]; Models, Theoretical; Multicenter study; Non insulin dependent diabetes mellitus; Polycystic Ovary Syndrome [*complications]; Prediction; Preeclampsia/co [Complication]; Pregnancy; Pregnant woman; Premature labor/co [Complication]; Prospective Studies; Prospective study; Risk Factors; Risk factor; Sex hormone binding globulin/ec [Endogenous Compound]; Small for date infant/co [Complication]; Systolic blood pressure; Twin pregnancy; Waist circumference","10.1093/humrep/deu077","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01070709/full",
"CN-01766066","Ogundipe, E; Johnson, MR; Wang, Y; Crawford, MA","Peri-conception maternal lipid profiles predict pregnancy outcomes","Prostaglandins, leukotrienes, and essential fatty acids","2016","In this study, healthy women and those at high‐risk of adverse pregnancy outcomes (pre‐eclampsia, fetal growth restriction, gestational diabetes) were selected to assess the effect of fatty acid supplementation. The purpose of this paper is to report two novel findings (i) at recruitment the receiver operating characteristic (ROC) for erythrocyte oleic acid predicted spontaneous delivery at 34 weeks gestation (ROC=0.926 n=296) for all women entering the study. Further analysis revealed oleic and all monounsaturated fatty acids were similarly predictive with or without a supplement during the pregnancy. (ii) At delivery, we observed a biomagnification of saturated fatty acids from mother to fetus with the reverse for monounsaturates. The major conclusions are (i) the status of the mother in the months prior to conception is a stronger predictor of preterm delivery than the events during the pregnancy. (ii) Saturated fats may be playing an important function in supporting fetal membrane growth.","114",,"35‐43","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 27926462","EMBASE 612670298",,,,"Journal article","*conception; *pregnancy outcome; Apgar score; Area under the curve; Article; Body height; Body mass; Body weight; Controlled study; Diet supplementation; Dietary Supplements; Double blind procedure; Erythrocyte; Erythrocyte membrane; Fatty Acids, Monounsaturated [*blood]; Fatty Acids, Omega‐3 [*administration &amp; dosage]; Female; Fetus membrane; Gestational age; Head circumference; Human; Humans; Intrauterine growth retardation; Low birth weight; Major clinical study; Maternal Nutritional Physiological Phenomena; Maternal‐Fetal Exchange; Oleic Acid [*blood]; Prediction; Preeclampsia; Pregnancy; Pregnancy Outcome [epidemiology]; Pregnancy diabetes mellitus; Premature Birth [*epidemiology]; Premature labor; Priority journal; ROC Curve; Randomized controlled trial; Risk factor; Umbilical cord blood","10.1016/j.plefa.2016.08.012","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01766066/full",
"CN-00156080","Caritis, S; Sibai, B; Hauth, J; Lindheimer, M; VanDorsten, P; Klebanoff, M; Thom, E; Landon, M; Paul, R; Miodovnik, M; Meis, P; Thurnau, G; Dombrowski, M; McNellis, D; Roberts, J","Predictors of pre-eclampsia in women at high risk. National Institute of Child Health and Human Development Network of Maternal-Fetal Medicine Units","American journal of obstetrics and gynecology","1998","OBJECTIVE: We assessed several variables as predictors for pre‐eclampsia risk in a group of women at high risk. STUDY DESIGN: We studied 2503 women with either diabetes mellitus, chronic hypertension, multifetal gestation, or pre‐eclampsia in a previous pregnancy who participated in a multicenter study comparing aspirin and placebo in preventing pre‐eclampsia. We evaluated multiple variables for predicting pre‐eclampsia risk with use of univariate and multivariable analysis. RESULTS: Parity and mean arterial pressure at randomization were most predictive of pre‐eclampsia risk. The risk was 8% with a mean arterial pressure at enrollment of <75 mm Hg versus 27% with a mean arterial pressure >85 mm Hg (relative risk and 95% confidence interval 3.3 [2.4 to 4.4]). The risk of pre‐eclampsia was 26% in nulliparous patients versus 17% in parous subjects (relative risk and 95% confidence interval 1.5 [1.3‐1.8]). CONCLUSIONS: The finding that second‐trimester mean arterial pressure affects pre‐eclampsia risk suggests that the pathophysiologic process of preeclampsia is initiated before that time.","179","4","946‐951","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 9790376",,,,,"Journal article","Adult; Aspirin [therapeutic use]; Blood Pressure; Female; Gestational Age; Humans; Hypertension [complications]; Parity; Placebos; Pregnancy; Pregnancy in Diabetics [complications]; Pregnancy, Multiple; Pre‐Eclampsia [*etiology, prevention &amp; control]; Risk Factors","10.1016/s0002-9378(98)70194-2","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00156080/full",
"CN-02142666","Papastefanou, I; Wright, D; Nicolaides, KH","Competing-risks model for prediction of small-for-gestational-age neonate from maternal characteristics and medical history","Ultrasound in obstetrics &amp; gynecology","2020","BACKGROUND: The established method of identifying a group of women at high risk of delivering a small‐for‐gestational‐age (SGA) neonate, requiring increased surveillance, is use of risk scoring systems based on maternal demographic characteristics and medical history. Although this approach is relatively simple to perform, it does not provide patient‐specific risks and has an uncertain performance in predicting SGA. Another approach to predict delivery of a SGA neonate is to use logistic regression models that combine maternal factors with first‐trimester biomarkers. These models provide patient‐specific risks for different prespecified cut‐offs of birth‐weight percentile and gestational age (GA) at delivery. OBJECTIVES: First, to develop a competing‐risks model for prediction of SGA based on maternal demographic characteristics and medical history, in which GA at the time of delivery and birth‐weight Z‐score are treated as continuous variables. Second, to compare the predictive performance of the new model for SGA neonates to that of previous methods. METHODS: This was a prospective observational study in 124 443 women with singleton pregnancy undergoing routine ultrasound examination at 11 + 0 to 13 + 6 weeks' gestation. The dataset was divided randomly into a training and a test dataset. The training dataset was used to develop a model for the joint distribution of GA at delivery and birth‐weight Z‐score from variables of maternal characteristics and medical history. This patient‐specific joint Gaussian distribution of GA at delivery and birth‐weight Z‐score allows risk calculation for SGA defined in terms of different birth‐weight percentiles and GA. The new model was then validated in the test dataset to assess performance of screening and we compared its predictive performance to that of logistic regression models for different SGA definitions. RESULTS: In the new model, the joint Gaussian distribution of GA at delivery and birth‐weight Z‐score is shifted to lower GA at delivery and birth‐weight Z‐score values, resulting in an increased risk for SGA, by lower maternal weight and height, black, East Asian, South Asian and mixed racial origin, medical history of chronic hypertension, diabetes mellitus and systemic lupus erythematosus and/or antiphospholipid syndrome, conception by in‐vitro fertilization and smoking. In parous women, variables from the last pregnancy that increased the risk for SGA were history of pre‐eclampsia or stillbirth, decreasing birth‐weight Z‐score and decreasing GA at delivery of the last pregnancy and interpregnancy interval < 0.5 years. In the test dataset, at a false‐positive rate of 10%, the new model predicted 30.1%, 32.1%, 32.2% and 37.8% of cases of a SGA neonate with birth weight < 10th percentile delivered at < 42, < 37, < 34 and < 30 weeks' gestation, respectively, which were similar or higher than the respective values achieved by a series of logistic regression models. The calibration study demonstrated good agreement between the predicted risks and the observed incidence of SGA in both the training and test datasets. CONCLUSIONS: A new competing‐risks model, based on maternal characteristics and medical history, provides estimation of patient‐specific risks for SGA in which GA at delivery and birth‐weight Z‐score are treated as continuous variables. Such estimation of the a‐priori risk for SGA is an essential first step in the use of Bayes' theorem to combine maternal factors with biomarkers for the continuing development of more effective methods of screening for SGA. Copyright © 2020 ISUOG. Published by John Wiley &amp; Sons Ltd.","56","2","196‐205","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 32573831","EMBASE 632167797",,,,"Journal article","*Bayes theorem; *first trimester pregnancy; *medical history; *prediction; *small for date infant; Adult; Antiphospholipid syndrome; Article; Bayes Theorem; Biomarkers [analysis]; Birth Weight; Calculation; Calibration; Clinical assessment; Conception; Controlled study; Demography; Diabetes mellitus; Female; Fetal Growth Retardation [*diagnosis]; Fetal Weight; Gestational Age; Human; Humans; Hypertension; In vitro fertilization; Incidence; Infant, Newborn; Infant, Small for Gestational Age; Logistic Models; Major clinical study; Newborn; Normal Distribution; Observational study; Obstetric delivery; Ovulation induction; Patient‐Specific Modeling; Predictive Value of Tests; Preeclampsia; Pregnancy; Pregnancy Trimester, First; Prospective Studies; Prospective study; Randomized controlled trial; Reference Values; Risk Assessment [*methods]; Risk Factors; Risk assessment; Smoking; Stillbirth; Systemic lupus erythematosus; Ultrasonography, Prenatal; Ultrasound","10.1002/uog.22129","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02142666/full",
"CN-00231486","Easterling, TR; Brateng, D; Schmucker, B; Brown, Z; Millard, SP","Prevention of preeclampsia: a randomized trial of atenolol in hyperdynamic patients before onset of hypertension","Obstetrics and gynecology","1999","OBJECTIVE: To determine if assessment of maternal hemodynamics could predict women at risk for the development of preeclampsia, if treatment directed at hemodynamic abnormalities before the onset of hypertension could prevent preeclampsia, and if mothers could be treated in a way that protects fetal growth. METHODS: A double‐blinded, randomized controlled trial was conducted. Subjects were considered to be at risk for preeclampsia if their cardiac output was greater than 7.4 L/min before 24 weeks' gestation. Nulliparous and diabetic subjects at risk were treated with 100 mg of atenolol or placebo. Cardiac output was measured by Doppler technique. Inulin and para‐aminohippurate clearances were performed. RESULTS: Treatment with atenolol reduced the incidence of preeclampsia from 5 of 28 (18%) to 1 of 28 (3.8%), (P = .04). Nulliparous women determined to be at risk for preeclampsia were similar to diabetic women at risk. Each was significantly heavier and had inulin and para‐aminohippurate clearances greater than the control group. Treatment with atenolol was associated with infants weighing 440 g less than infants in the nulliparous placebo group, (P = .02). No effect on birth weight was seen in the diabetic patients. Mothers of the smallest infants who were treated with atenolol could be identified by unexpectedly large reductions in cardiac output. CONCLUSION: Measurement of cardiac output in the second trimester identified women at risk for preeclampsia. Treatment with atenolol decreased the incidence of preeclampsia. Nulliparous and diabetic women at risk for preeclampsia were similar with regard to maternal hemodynamics, maternal weight, and renal function. Treatment with atenolol was associated with reduced infant birth weight.","93","5 Pt 1","725‐733","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 10912975","EMBASE 29190671",,,,"Journal article","*atenolol/ct [Clinical Trial]; *atenolol/dt [Drug Therapy] Link to the Ovid Full Text or citation: http://ovidsp.ovid.com/ovidweb.cgi?T=JS&amp;CSC=Y&amp;NEWS=N&amp;PAGE=fulltext&amp;D=emed4&amp;AN=1999144738; *preeclampsia/dt [Drug Therapy]; *preeclampsia/pc [Prevention]; Adrenergic beta‐Antagonists [adverse effects, *therapeutic use]; Adult; Antihypertensive therapy; Article; Atenolol [adverse effects, *therapeutic use]; Birth Weight [drug effects]; Cardiac Output [drug effects]; Clinical trial; Controlled clinical trial; Controlled study; Double blind procedure; Double‐Blind Method; Drug effect; Female; Heart output; Hemodynamic monitoring; Hemodynamics [*drug effects]; Human; Humans; Hypertension [*drug therapy]; Infant, Newborn; Major clinical study; Pregnancy; Pregnancy in Diabetics [drug therapy]; Pre‐Eclampsia [*prevention &amp; control]; Priority journal; Randomized controlled trial; Risk Factors","10.1016/s0029-7844(98)00522-5","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00231486/full","Pregnancy and Childbirth"
